pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable
Boticas Peru,Vitamina E 400 Mg Vitavital Capsulas Blandas Frasco 60 Un,Vitamina E 400 Mg Vitavital Capsulas Blandas Frasco 60 Un,E-400,24.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_400_mg_vitavital_capsulas_blandas_-_frasco_60_un/46486.html,46486,,sfcc_search_update_grid,2026-06-08T00:55:36.668240+00:00,,Precio rebajado de S/ 24.90 a S/ 19.90 -20% Vitamina E 400 Mg VitaVital Cápsulas Blandas - Frasco 60 UN,search_tile_regex,false_no_component_match
Boticas Peru,Vitamina B12 Frasco 60 Un,Vitamina B12 Frasco 60 Un,,59.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/vitamina_b12_-_frasco_60_un/38764.html,38764,,sfcc_search_update_grid,2026-06-08T00:55:36.668835+00:00,,S/ 59.00 Vitamina B12 - Frasco 60 UN,,false_no_registro_sanitario
Boticas Peru,Vitamina B 12 1000Mcg Caja 100 Un,Vitamina B 12 1000Mcg Caja 100 Un,,99.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_b/vitamina_b-12_1000mcg__-_caja_100_un/28804.html,28804,,sfcc_search_update_grid,2026-06-08T00:55:36.669385+00:00,,S/ 99.90 Vitamina B-12 1000MCG - Caja 100 UN,,false_no_registro_sanitario
Boticas Peru,Vitamina E 400 Ui Capsula Blanda Caja 50 Un,Vitamina E 400 Ui Capsula Blanda Caja 50 Un,E-400,26.50,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_400_ui_capsula_blanda_-_caja_50_un/09970-CAJA.html,09970-CAJA,,sfcc_search_update_grid,2026-06-08T00:55:36.671088+00:00,,S/ 26.50 Vitamina E 400 Ui Cápsula Blanda - Caja 50 UN,search_tile_regex,false_no_component_match
Boticas Peru,Vitamina E 400 Ui Capsula Blanda Blister 10 Un,Vitamina E 400 Ui Capsula Blanda Blister 10 Un,E-400,5.30,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_e/vitamina_e_400_ui_capsula_blanda_-_blister_10_un/09970-BLISTER.html,09970-BLISTER,,sfcc_search_update_grid,2026-06-08T00:55:36.671662+00:00,,S/ 5.30 Vitamina E 400 Ui Cápsula Blanda - Blister 10 UN,search_tile_regex,false_no_component_match
Boticas Peru,Redoxitos Total Gomitas Con Vitaminas Caja 10 Un,Redoxitos Total Gomitas Con Vitaminas Caja 10 Un,,33.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/redoxitos_total_gomitas_con_vitaminas_-_caja_10_un/34505.html,34505,,sfcc_search_update_grid,2026-06-08T00:55:36.672216+00:00,,S/ 33.00 Redoxitos Total Gomitas Con Vitaminas - Caja 10 UN,,false_no_registro_sanitario
Boticas Peru,Vitamina A 10000 I.U Capsulas Frasco 100 Un,Vitamina A 10000 I.U Capsulas Frasco 100 Un,A-10000,47.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_a/vitamina_a-10000_i.u_capsulas_-_frasco_100_un/09027.html,09027,,sfcc_search_update_grid,2026-06-08T00:55:36.672779+00:00,,S/ 47.00 Vitamina A-10000 I.U Cápsulas - Frasco 100 UN,search_tile_regex,false_no_component_match
Boticas Peru,Vitamina D3 400 I.U Frasco 100 Un,Vitamina D3 400 I.U Frasco 100 Un,,53.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_d/vitamina_d3_400_i.u_-_frasco_100_un/14412.html,14412,,sfcc_search_update_grid,2026-06-08T00:55:36.674405+00:00,,S/ 53.90 Vitamina D3 400 I.U - Frasco 100 UN,,false_no_registro_sanitario
Boticas Peru,Calcio Citrato Con Vitamina D3 Frasco 60 Un,Calcio Citrato Con Vitamina D3 Frasco 60 Un,,71.50,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_d/calcio_citrato_con_vitamina_d3_-_frasco_60_un/13554.html,13554,,sfcc_search_update_grid,2026-06-08T00:55:36.674955+00:00,,S/ 71.50 Calcio Citrato con Vitamina D3 - Frasco 60 UN,,false_no_registro_sanitario
Boticas Peru,Buk Cito Con Vitamina C Sobre 1 Un,Buk Cito Con Vitamina C Sobre 1 Un,,0.80,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/vitamina_c/buk-cito_con_vitamina_c_-_sobre_1_un/25480.html,25480,,sfcc_search_update_grid,2026-06-08T00:55:36.675503+00:00,,S/ 0.80 Buk-Cito Con Vitamina C - Sobre 1 UN,,false_no_registro_sanitario
